S5E,SSMI,IBEX,GDAXI,FTSE,FCHI,BFX,AEX,SSEC,NSEI,N225,KSE,KS11,HSI,BSESN,AORD,SPX,RUT,MXX,IXIC,DJI,BVSP
0.7043848430438285,0.6911210821284641,0.6046277883031075,0.6357883568522489,0.6870802045776885,0.6472063645384311,0.6075479170223234,0.6546680191787159,0.24248280270117537,0.4620897856596582,1,0.09068432402874192,0.5080393654554644,0.5178013410306554,0.463234840946364,0.6369062132607414,0.696645602802422,0.6263782381139789,0.477427005823319,0.643417288676953,0.6973903701930564,0.5154035992829845
0.12704336655296283,0.09069701714197533,0.11155836185594656,0.1202720566508779,0.14213313526202773,0.11370455782412096,0.11929941865003274,0.1047798584420594,0.09980842765490616,0.09080442053307532,0.09068432402874192,1,0.07729839045553742,0.08053362512731035,0.16985276449439743,0.14075412807273813,0.15088155700845923,0.10364894125036891,0.13576317280236191,0.17999985850219777,0.14333702044982843,-0.01158771497537091
0.647214979720628,0.5807125517133345,0.5656132625785045,0.6110432043000338,0.6042471418630821,0.6332701968378666,0.6055569941899528,0.616600409330371,0.4045986347540021,0.41600116533537845,0.5080393654554644,0.07729839045553742,1,0.6769876241846112,0.5161393694795702,0.5790175680259314,0.603622547910752,0.5346066351205794,0.5681867669396351,0.6059052972709206,0.635575007531819,0.5961135596184125
0.6355369717366334,0.6427385484607436,0.5790191247628688,0.6645516556948194,0.5974614673162132,0.6333872098023866,0.6264312678455031,0.639347907977444,0.42389400921763193,0.46609126470700835,0.5178013410306554,0.08053362512731035,0.6769876241846112,1,0.5325617004916009,0.5574936915703058,0.6544504637057177,0.6084107181049874,0.5786009330800296,0.6685222865349105,0.6551274476476673,0.6104385870943869
0.5488806345049965,0.58623851022216,0.546718859917641,0.566970676858833,0.5739679924779231,0.5611189094398688,0.5684351074433053,0.5713691925420937,0.2683683245206668,0.8888226080010547,0.463234840946364,0.16985276449439743,0.5161393694795702,0.5325617004916009,1,0.5307466085250154,0.5768479909421619,0.5526102553558317,0.4914164935115149,0.597592851070997,0.5547995255592806,0.5243605535988334
0.7511612469861698,0.7480026579225874,0.6989564782118454,0.7449767669826477,0.7247695960313555,0.7412877577098779,0.7381855813620114,0.7529686865734765,0.2334926036612545,0.4648642790478989,0.6369062132607414,0.14075412807273813,0.5790175680259314,0.5574936915703058,0.5307466085250154,1,0.772577343123328,0.6932776259905682,0.5390147596736914,0.7363104014774595,0.7729441644789815,0.5638319430026054
0.8860063011524735,0.8901008820381296,0.8421068078979459,0.8855216412895354,0.8768287732951072,0.880183172218039,0.843890437320629,0.8995149608303065,0.2910791644196333,0.5248632484560214,0.696645602802422,0.15088155700845923,0.603622547910752,0.6544504637057177,0.5768479909421619,0.772577343123328,1,0.885824187186287,0.6949449385080717,0.9371463138623994,0.9758406289966296,0.6981807544652998
0.7995270974280145,0.779388116546806,0.7601629252920118,0.7873966068155448,0.7978991858575205,0.7870591965560496,0.7511637023219141,0.8000582070732573,0.2589595598870836,0.4941838079022159,0.6263782381139789,0.10364894125036891,0.5346066351205794,0.6084107181049874,0.5526102553558317,0.6932776259905682,0.885824187186287,1,0.6191793945064349,0.8820313872511167,0.8411019861121529,0.6876701433495255
0.6556923891939672,0.6389196746056454,0.6332448857912859,0.6534544630028071,0.6791810384816932,0.6442627459160454,0.6214613967179002,0.6454173031112029,0.23327523008021292,0.4270377386633328,0.477427005823319,0.13576317280236191,0.5681867669396351,0.5786009330800296,0.4914164935115149,0.5390147596736914,0.6949449385080717,0.6191793945064349,1,0.6783954031220095,0.7073876891994529,0.5818826222977916
0.8429146251526332,0.8304952527733787,0.8068141084365482,0.848097496872832,0.8297037774841141,0.846661018763066,0.8075124641736826,0.8616944319043065,0.33033331331162696,0.5159812817581907,0.643417288676953,0.17999985850219777,0.6059052972709206,0.6685222865349105,0.597592851070997,0.7363104014774595,0.9371463138623994,0.8820313872511167,0.6783954031220095,1,0.8911308697727812,0.7033196854406423
0.8925818804618597,0.8982757455869173,0.8367506180775173,0.892627173079745,0.8763059552078876,0.8865069312614895,0.8484889706502272,0.9019514229140662,0.3063014685035944,0.5020883008600628,0.6973903701930564,0.14333702044982843,0.635575007531819,0.6551274476476673,0.5547995255592806,0.7729441644789815,0.9758406289966296,0.8411019861121529,0.7073876891994529,0.8911308697727812,1,0.6883208222274115
0.6669855710170832,0.6319566336412971,0.6606292940905756,0.6359035607569707,0.660106995017013,0.6660755444486062,0.6445076250574693,0.6768437704846705,0.24888031069415548,0.4448329401547027,0.5154035992829845,-0.01158771497537091,0.5961135596184125,0.6104385870943869,0.5243605535988334,0.5638319430026054,0.6981807544652998,0.6876701433495255,0.5818826222977916,0.7033196854406423,0.6883208222274115,1
