par,val
H_SSMI,0.23140945791683099
H_STOXX50E,0.1583669461522795
rho_AEX/AORD,0.6495044326145948
rho_AEX/BFX,0.935426898001299
rho_AEX/BSESN,0.4724666275061629
rho_AEX/BVSP,0.6777544378542829
rho_AEX/DJI,0.894597655163651
rho_AEX/FCHI,0.9694064239048039
rho_AEX/FTSE,0.9416237329419638
rho_AEX/GDAXI,0.9568088164640961
rho_AEX/HSI,0.6411260869071884
rho_AEX/IBEX,0.8056213740234746
rho_AEX/IXIC,0.7919595116156527
rho_AEX/KS11,0.5800262030095182
rho_AEX/KSE,0.015723020421372018
rho_AEX/MXX,0.5330633246776283
rho_AEX/N225,0.6466391957251716
rho_AEX/NSEI,0.3865683500297397
rho_AEX/RUT,0.629924630738908
rho_AEX/SPX,0.8889549999675905
rho_AEX/SSEC,0.2547673729243742
rho_AEX/SSMI,0.9491568869222254
rho_AEX/STOXX50E,0.9751587933258848
rho_AORD/BFX,0.7233726313954534
rho_AORD/BSESN,0.32406705952908366
rho_AORD/BVSP,0.4714580583507795
rho_AORD/DJI,0.6287517851451571
rho_AORD/FCHI,0.6637908641519058
rho_AORD/FTSE,0.7518291010003243
rho_AORD/GDAXI,0.5237067351301677
rho_AORD/HSI,0.5365551837742931
rho_AORD/IBEX,0.6607754254247655
rho_AORD/IXIC,0.4949741633996983
rho_AORD/KS11,0.29055949753487803
rho_AORD/KSE,-0.025852297016281833
rho_AORD/MXX,0.6811434662220088
rho_AORD/N225,0.44167479421759187
rho_AORD/NSEI,0.3601570613004957
rho_AORD/RUT,0.7082295715033559
rho_AORD/SPX,0.6327611505998578
rho_AORD/SSEC,0.38610891674757664
rho_AORD/SSMI,0.6790952130422372
rho_AORD/STOXX50E,0.6043149928290498
rho_BFX/BSESN,0.4089548884970736
rho_BFX/BVSP,0.5966801309879253
rho_BFX/DJI,0.837775983959369
rho_BFX/FCHI,0.9376629090338374
rho_BFX/FTSE,0.9390586260042789
rho_BFX/GDAXI,0.8706308151856
rho_BFX/HSI,0.6176671343578792
rho_BFX/IBEX,0.8610300595955291
rho_BFX/IXIC,0.7273811954911508
rho_BFX/KS11,0.5040126442241062
rho_BFX/KSE,-0.007764175135639573
rho_BFX/MXX,0.5902333409676509
rho_BFX/N225,0.5446739134719336
rho_BFX/NSEI,0.3523144935591633
rho_BFX/RUT,0.6688710630990221
rho_BFX/SPX,0.8383292078294
rho_BFX/SSEC,0.23827915920868364
rho_BFX/SSMI,0.8920229165914461
rho_BFX/STOXX50E,0.9170916841071879
rho_BSESN/BVSP,0.6123579952134598
rho_BSESN/DJI,0.573872208553304
rho_BSESN/FCHI,0.4673962565583695
rho_BSESN/FTSE,0.5008816357186697
rho_BSESN/GDAXI,0.5052379010830752
rho_BSESN/HSI,0.628310679989481
rho_BSESN/IBEX,0.26008826742469304
rho_BSESN/IXIC,0.6168126329451445
rho_BSESN/KS11,0.720925196124588
rho_BSESN/KSE,0.28099124865044234
rho_BSESN/MXX,0.4854156847403381
rho_BSESN/N225,0.57524344466451
rho_BSESN/NSEI,0.8322348660028558
rho_BSESN/RUT,0.35124043135285643
rho_BSESN/SPX,0.5930683823996108
rho_BSESN/SSEC,0.3067538751041189
rho_BSESN/SSMI,0.46333499032801134
rho_BSESN/STOXX50E,0.4331092391602249
rho_BVSP/DJI,0.714227591360377
rho_BVSP/FCHI,0.6467667396586211
rho_BVSP/FTSE,0.6923969190136023
rho_BVSP/GDAXI,0.6478551507664185
rho_BVSP/HSI,0.6300427162644207
rho_BVSP/IBEX,0.46760063450250994
rho_BVSP/IXIC,0.6287847221717675
rho_BVSP/KS11,0.6371511056329556
rho_BVSP/KSE,-0.029901667075633263
rho_BVSP/MXX,0.49891468114250936
rho_BVSP/N225,0.6276391094480915
rho_BVSP/NSEI,0.6718883208271464
rho_BVSP/RUT,0.5646525371477369
rho_BVSP/SPX,0.7121378596678974
rho_BVSP/SSEC,0.32363135857810477
rho_BVSP/SSMI,0.6817763447447843
rho_BVSP/STOXX50E,0.6434396779369798
rho_DJI/FCHI,0.8787251130962953
rho_DJI/FTSE,0.8936099148988922
rho_DJI/GDAXI,0.8701600744505463
rho_DJI/HSI,0.7005327040097105
rho_DJI/IBEX,0.7023957024439259
rho_DJI/IXIC,0.8978902394082062
rho_DJI/KS11,0.6879929304731561
rho_DJI/KSE,0.08239657389300883
rho_DJI/MXX,0.6311684227102755
rho_DJI/N225,0.6903748624753154
rho_DJI/NSEI,0.4487802594368941
rho_DJI/RUT,0.6965313063085233
rho_DJI/SPX,0.9908557256999581
rho_DJI/SSEC,0.27288182788037263
