par,v0,val
rho_BFX/DJI,0.30021371130881697,0.8354191914035444
rho_BFX/FCHI,0.7206958983823489,0.9363630770314262
rho_BFX/FTSE,0.42490778697245685,0.9368601816806621
rho_BFX/GDAXI,0.5941726984996798,0.8691356349752358
rho_BFX/HSI,0.14203621734722396,0.6183105195272336
rho_BFX/IBEX,0.607834157248877,0.8591911752710079
rho_BFX/IXIC,0.2884571016238371,0.7261937370731957
rho_BFX/KS11,0.11771177876851943,0.49345895291472047
rho_BFX/KSE,0.012523186856908891,0.013534888046846306
rho_BFX/MXX,0.1802722707569376,0.590159689843678
rho_BFX/N225,0.14111931688459356,0.5437772117363061
rho_BFX/NSEI,0.13224152935991304,0.4388666466426076
rho_BFX/RUT,0.1947341431817316,0.6707187056751625
rho_BFX/SPX,0.31446261094514805,0.8353492692415009
rho_BFX/SSEC,0.07047635618295507,0.2427225373595416
rho_BFX/SSMI,0.5510988815542984,0.8905634116436447
rho_BFX/STOXX50E,0.5646814126216999,0.9198255475286505
rho_BSESN/BVSP,0.014030419136838751,0.6059482202547338
rho_BSESN/DJI,0.025777237608700203,0.572917974633532
rho_BSESN/FCHI,0.13337460074517282,0.4673953546107879
rho_BSESN/FTSE,0.09119709767662629,0.5005357017239185
rho_BSESN/GDAXI,0.10991713122425972,0.5051988047942495
rho_BSESN/HSI,0.154142468041353,0.6356023379934812
rho_BSESN/IBEX,0.13566439664385388,0.2580972466773916
rho_BSESN/IXIC,0.025038266897036136,0.6170095545463313
rho_BSESN/KS11,0.08747364843703065,0.6993640798171689
rho_BSESN/KSE,0.015057528906634903,0.29861240146405627
rho_BSESN/MXX,0.011433663847021073,0.4735025339157115
rho_BSESN/N225,0.0938785448099153,0.5691894200599287
rho_BSESN/NSEI,0.797111405943279,0.8937971848205354
rho_BSESN/RUT,0.028449503414954065,0.349860749345408
rho_BSESN/SPX,0.0390000826057091,0.5925729833146026
rho_BSESN/SSEC,0.0785157284183603,0.29706222615382166
rho_BSESN/SSMI,0.1161217540980434,0.4639648020835148
rho_BSESN/STOXX50E,0.11630219807512057,0.43328747037855203
rho_BVSP/DJI,0.27095614038259025,0.7144670723740577
rho_BVSP/FCHI,0.19623703747714616,0.6398988909157582
rho_BVSP/FTSE,0.14367159105524252,0.6846996362277419
rho_BVSP/GDAXI,0.20362805052614458,0.6338404286618735
rho_BVSP/HSI,0.012227037611303998,0.628356321590679
rho_BVSP/IBEX,0.16794502029610112,0.46624194826871135
rho_BVSP/IXIC,0.34969041084371244,0.6329132840864473
rho_BVSP/KS11,0.011653266932094309,0.6088913313722086
rho_BVSP/KSE,-0.01376630043666637,-0.045694841374659366
rho_BVSP/MXX,0.23933994572674036,0.5011118682631909
rho_BVSP/N225,0.03871866175529998,0.6279982681764468
rho_BVSP/NSEI,0.023081393363466488,0.700569893653546
rho_BVSP/RUT,0.272437238093828,0.5778479158967176
rho_BVSP/SPX,0.30914496681098824,0.7119607017695716
rho_BVSP/SSEC,0.01992235658170683,0.3106611930477218
rho_BVSP/SSMI,0.18017558587587254,0.6721185135984039
rho_BVSP/STOXX50E,0.18844755222993953,0.6390037885144944
rho_DJI/FCHI,0.3497213213172768,0.877835200225455
rho_DJI/FTSE,0.3389266306615667,0.8915185638788997
rho_DJI/GDAXI,0.3489461354834501,0.8687155394991156
rho_DJI/HSI,0.08943535713848116,0.7019116426738233
rho_DJI/IBEX,0.2979272702596576,0.7000106018621032
rho_DJI/IXIC,0.5918584240188961,0.8962520739713882
rho_DJI/KS11,0.08681670225537379,0.6696110399053108
rho_DJI/KSE,0.013205468849446955,0.10098514660563004
rho_DJI/MXX,0.44332838007503483,0.6293208525202642
rho_DJI/N225,0.07732333342356038,0.6879406379473443
rho_DJI/NSEI,0.022444892131430437,0.5072097651264035
rho_DJI/RUT,0.5636552946262912,0.6963667710954347
rho_DJI/SPX,0.9254973872398363,0.9894598599650832
rho_DJI/SSEC,0.019104434009290582,0.27970692346765563
rho_DJI/SSMI,0.29396910148359284,0.8624030292525937
rho_DJI/STOXX50E,0.3385362184330334,0.8732320603706312
rho_FCHI/FTSE,0.4994917947950492,0.9424326678807345
rho_FCHI/GDAXI,0.7156614405592632,0.9551124954791178
rho_FCHI/HSI,0.15567193641882485,0.6299970229672811
rho_FCHI/IBEX,0.7238515985437382,0.8816992895715243
rho_FCHI/IXIC,0.3497155927406356,0.77938285168756
rho_FCHI/KS11,0.1249763228299787,0.5508296555400318
rho_FCHI/KSE,-0.02529836912103191,0.024046810334441452
rho_FCHI/MXX,0.22910017492359683,0.5697145072683948
rho_FCHI/N225,0.16031985474272645,0.6372828748263298
rho_FCHI/NSEI,0.11916444394161858,0.4165719714881077
rho_FCHI/RUT,0.22426460077806684,0.6265497030797917
rho_FCHI/SPX,0.3699690138808164,0.8834966981445009
rho_FCHI/SSEC,0.07103470087885107,0.2522685673678473
rho_FCHI/SSMI,0.6420712294842168,0.9180409645952483
rho_FCHI/STOXX50E,0.690845970603579,0.9960567022530501
rho_FTSE/GDAXI,0.4800945427992597,0.8747099668552505
rho_FTSE/HSI,0.1301474179962098,0.6804223685252166
rho_FTSE/IBEX,0.4007401633296038,0.829286110617155
rho_FTSE/IXIC,0.2569275517460604,0.781848569370278
rho_FTSE/KS11,0.08297077186430621,0.5777275448283548
rho_FTSE/KSE,0.04360318479910336,0.0667098400056753
rho_FTSE/MXX,0.2691082234640072,0.6886918467022647
rho_FTSE/N225,0.1683116954471506,0.6478658037686048
rho_FTSE/NSEI,0.08429379431974718,0.4981608250223074
rho_FTSE/RUT,0.20708761739947723,0.7135772658346069
