par,val
cov_HSI/MXX,0.0995965799843812
cov_HSI/N225,0.0992117340291257
cov_HSI/NSEI,0.08020701512511123
cov_HSI/RUT,0.10616924206707516
cov_HSI/SPX,0.157945257467968
cov_HSI/SSEC,0.07541023690418372
cov_HSI/SSMI,0.10977992474058118
cov_HSI/STOXX50E,0.12382656841427672
cov_IBEX/IXIC,0.16600507750472432
cov_IBEX/KS11,0.07717156019764526
cov_IBEX/KSE,-0.018391361590760668
cov_IBEX/MXX,0.10872331203094374
cov_IBEX/N225,0.11514690763329612
cov_IBEX/NSEI,0.047891830171079626
cov_IBEX/RUT,0.1476977001824215
cov_IBEX/SPX,0.20046966629255702
cov_IBEX/SSEC,0.04607253931792817
cov_IBEX/SSMI,0.16379506504176972
cov_IBEX/STOXX50E,0.2201660741275346
cov_IXIC/KS11,0.18917063530349873
cov_IXIC/KSE,0.04282081407902414
cov_IXIC/MXX,0.13862870242301728
cov_IXIC/N225,0.1671909452975635
cov_IXIC/NSEI,0.08658692651252842
cov_IXIC/RUT,0.17588090582711507
cov_IXIC/SPX,0.2895966236652922
cov_IXIC/SSEC,0.03795355623416326
cov_IXIC/SSMI,0.1852141125227527
cov_IXIC/STOXX50E,0.22582005347337025
cov_KS11/KSE,0.051466443975018414
cov_KS11/MXX,0.09211070240184338
cov_KS11/N225,0.12444315066250142
cov_KS11/NSEI,0.09863161554723013
cov_KS11/RUT,0.0824038845035701
cov_KS11/SPX,0.18677019748924645
cov_KS11/SSEC,0.05239999292675109
cov_KS11/SSMI,0.12167810255661585
cov_KS11/STOXX50E,0.14319726564702945
cov_KSE/MXX,0.017809722400458822
cov_KSE/N225,0.010004909810236311
cov_KSE/NSEI,0.04406910767024225
cov_KSE/RUT,0.004047793438685637
cov_KSE/SPX,0.03374935736315564
cov_KSE/SSEC,0.02200534027179903
cov_KSE/SSMI,0.011029751114380076
cov_KSE/STOXX50E,0.01060686246786658
cov_MXX/N225,0.08781413736140996
cov_MXX/NSEI,0.08293772971496567
cov_MXX/RUT,0.14260943078620222
cov_MXX/SPX,0.15766485379921327
cov_MXX/SSEC,0.05980768722412445
cov_MXX/SSMI,0.10711050506194413
cov_MXX/STOXX50E,0.12425056268243173
cov_N225/NSEI,0.09275311841335476
